FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,NIST 800-82 r3 Moderate Requirement Title,Target ID #,NIST 800-82 r3 Moderate Requirement Description,Notes
AT-2,AT-02 - Literacy Training and Awareness,"Provide security and privacy literacy training to system users (including managers, senior executives, and contractors): 1.",high,semantic,"StateRAMP Rev5 Moderate AT-2 requires Provide security and privacy literacy training to system users (including managers, senior executives, and contractors): 1.. NIST 800-82 r3 Moderate AT-2 requires Provide security and privacy literacy training to system users (including managers, senior executives, and contractors): 1.. Both address OT cybersecurity safeguards.",equal,10,AT-02 - Literacy Training and Awareness,AT-2,"Provide security and privacy literacy training to system users (including managers, senior executives, and contractors): 1.",Auto-mapped via ID-first + lexical scoring (score=0.920).
AT-2(2),AT-02(02) - Insider Threat,Provide literacy training on recognizing and reporting potential indicators of insider threat.,high,semantic,StateRAMP Rev5 Moderate AT-2(2) requires Provide literacy training on recognizing and reporting potential indicators of insider threat.. NIST 800-82 r3 Moderate AT-2(2) requires Provide literacy training on recognizing and reporting potential indicators of insider threat.. Both address OT cybersecurity safeguards.,equal,10,AT-02(02) - Insider Threat,AT-2(2),Provide literacy training on recognizing and reporting potential indicators of insider threat.,Auto-mapped via ID-first + lexical scoring (score=1.000).
AT-2(3),AT-02(03) - Social Engineering and Mining,Provide literacy training on recognizing and reporting potential and actual instances of social engineering and social mining.,high,semantic,StateRAMP Rev5 Moderate AT-2(3) requires Provide literacy training on recognizing and reporting potential and actual instances of social engineering and social mining.. NIST 800-82 r3 Moderate AT-2(3) requires Provide literacy training on recognizing and reporting potential and actual instances of social engineering and social mining.. Both address OT cybersecurity safeguards.,equal,10,AT-02(03) - Social Engineering and Mining,AT-2(3),Provide literacy training on recognizing and reporting potential and actual instances of social engineering and social mining.,Auto-mapped via ID-first + lexical scoring (score=1.000).
AT-3,AT-03 - Role-based Training,Provide role-based security and privacy training to personnel with the following roles and responsibilities: : 1.,high,semantic,StateRAMP Rev5 Moderate AT-3 requires Provide role-based security and privacy training to personnel with the following roles and responsibilities: : 1.. NIST 800-82 r3 Moderate AT-3 requires Provide role-based security and privacy training to personnel with the following roles and responsibilities: : 1.. Both address OT cybersecurity safeguards.,subset_of,7,AT-03 - Role-based Training,AT-3,Provide role-based security and privacy training to personnel with the following roles and responsibilities: : 1.,Auto-mapped via ID-first + lexical scoring (score=0.887). Reclassified to subset_of (equal>50% safeguard).
AT-4,AT-04 - Training Records,"Document and monitor information security and privacy training activities, including security and privacy awareness training and specific role-based security and privacy training; and b.",high,semantic,"StateRAMP Rev5 Moderate AT-4 requires Document and monitor information security and privacy training activities, including security and privacy awareness training and specific role-based security and privacy training; and b.. NIST 800-82 r3 Moderate AT-4 requires Document and monitor information security and privacy training activities, including security and privacy awareness training and specific role-based security and privacy training; and b.. Both address OT cybersecurity safeguards.",equal,10,AT-04 - Training Records,AT-4,"Document and monitor information security and privacy training activities, including security and privacy awareness training and specific role-based security and privacy training; and b.",Auto-mapped via ID-first + lexical scoring (score=1.000).
AU-1,AU-01 - Policy and Procedures,"Develop, document, and disseminate to : 1.",high,semantic,"StateRAMP Rev5 Moderate AU-1 requires Develop, document, and disseminate to : 1.. NIST 800-82 r3 Moderate AU-1 requires Develop, document, and disseminate to : 1.. Both address OT cybersecurity safeguards.",equal,10,AU-01 - Policy and Procedures,AU-1,"Develop, document, and disseminate to : 1.",Auto-mapped via ID-first + lexical scoring (score=0.947).
AU-2,AU-02 - Event Logging,Identify the types of events that the system is capable of logging in support of the audit function: ; b.,high,semantic,StateRAMP Rev5 Moderate AU-2 requires Identify the types of events that the system is capable of logging in support of the audit function: ; b.. NIST 800-82 r3 Moderate AU-2 requires Identify the types of events that the system is capable of logging in support of the audit function: ; b.. Both address OT cybersecurity safeguards.,subset_of,7,AU-02 - Event Logging,AU-2,Identify the types of events that the system is capable of logging in support of the audit function: ; b.,Auto-mapped via ID-first + lexical scoring (score=0.879). Reclassified to subset_of (equal>50% safeguard).
AU-3,AU-03 - Content of Audit Records,Ensure that audit records contain information that establishes the following: a.,high,semantic,StateRAMP Rev5 Moderate AU-3 requires Ensure that audit records contain information that establishes the following: a.. NIST 800-82 r3 Moderate AU-3 requires Ensure that audit records contain information that establishes the following: a.. Both address OT cybersecurity safeguards.,equal,10,AU-03 - Content of Audit Records,AU-3,Ensure that audit records contain information that establishes the following: a.,Auto-mapped via ID-first + lexical scoring (score=1.000).
AU-3(1),AU-03(01) - Additional Audit Information,Generate audit records containing the following additional information: .,high,semantic,StateRAMP Rev5 Moderate AU-3(1) requires Generate audit records containing the following additional information: .. NIST 800-82 r3 Moderate AU-3(1) requires Generate audit records containing the following additional information: .. Both address OT cybersecurity safeguards.,subset_of,7,AU-03(01) - Additional Audit Information,AU-3(1),Generate audit records containing the following additional information: .,Auto-mapped via ID-first + lexical scoring (score=0.757). Reclassified to subset_of (equal>50% safeguard).
AU-4,AU-04 - Audit Log Storage Capacity,Allocate audit log storage capacity to accommodate .,high,semantic,StateRAMP Rev5 Moderate AU-4 requires Allocate audit log storage capacity to accommodate .. NIST 800-82 r3 Moderate AU-4 requires Allocate audit log storage capacity to accommodate .. Both address OT cybersecurity safeguards.,equal,10,AU-04 - Audit Log Storage Capacity,AU-4,Allocate audit log storage capacity to accommodate .,Auto-mapped via ID-first + lexical scoring (score=1.000).
AU-5,AU-05 - Response to Audit Logging Process Failures,Alert within in the event of an audit logging process failure; and b.,high,semantic,StateRAMP Rev5 Moderate AU-5 requires Alert within in the event of an audit logging process failure; and b.. NIST 800-82 r3 Moderate AU-5 requires Alert within in the event of an audit logging process failure; and b.. Both address OT cybersecurity safeguards.,equal,10,AU-05 - Response to Audit Logging Process Failures,AU-5,Alert within in the event of an audit logging process failure; and b.,Auto-mapped via ID-first + lexical scoring (score=1.000).
AU-6,"AU-06 - Audit Record Review, Analysis, and Reporting",Review and analyze system audit records for indications of and the potential impact of the inappropriate or unusual activity; b.,high,semantic,StateRAMP Rev5 Moderate AU-6 requires Review and analyze system audit records for indications of and the potential impact of the inappropriate or unusual activity; b.. NIST 800-82 r3 Moderate AU-6 requires Review and analyze system audit records for indications of and the potential impact of the inappropriate or unusual activity; b.. Both address OT cybersecurity safeguards.,subset_of,7,"AU-06 - Audit Record Review, Analysis, and Reporting",AU-6,Review and analyze system audit records for indications of and the potential impact of the inappropriate or unusual activity; b.,Auto-mapped via ID-first + lexical scoring (score=0.821). Reclassified to subset_of (equal>50% safeguard).
